naam;specs;cat;pref;backup;volgw;opm;eenheid;stap
sla 3 kleuren met wortel;;groenten;OKAY;SPAR;1770;;verp;1
spaghetti groenten;;groenten;OKAY;SPAR;1780;;zak;1
groene kool;;groenten;OKAY;SPAR;1790;;stuk;1
gourgette;;groenten;OKAY;SPAR;1800;;stuk;1
spitskool;;groenten;OKAY;SPAR;1810;;stuk;1
chineze kool;;groenten;OKAY;SPAR;1820;;stuk;1
dille met wortel;;groenten;OKAY;SPAR;1830;;stuk;1
basilicum met wortel;;kruiden;OKAY;SPAR;1840;;stuk;1
oetker pizza;;maaltijd;OKAY;SPAR;1850;;stuk;1
bami goreng;;maaltijd;OKAY;SPAR;1860;;doos;1
macaroni;;maaltijd;OKAY;SPAR;1870;;doos;1
maaltijd Bea;;maaltijd;OKAY;SPAR;1880;;doos;1
maaltijd Bea tong madeira;;maaltijd;OKAY;SPAR;1890;;doos;1
moussaka;;maaltijd;OKAY;SPAR;1900;;doos;1
lasagne;;maaltijd;OKAY;SPAR;1910;;doos;1
platte kaasjes voor kids;;melkproduct;OKAY;SPAR;1920;;stuk;6
yoghurt;;melkproduct;OKAY;SPAR;1930;;pot;1
yoghurt natuur witte producten 1/2L;;melkproduct;OKAY;SPAR;1940;;pot;1
alpro vanille;;melkproduct;OKAY;SPAR;1950;;pot;1
karnemelk;;melkproduct;OKAY;SPAR;1960;;fles;1
appelsiensap;;drank;OKAY;SPAR;1970;;fles;1
skyr;;melkproduct;OKAY;SPAR;1980;;pot;1
Vanille yougurt;;melkproduct;;;1985;;pot;1
appelsienen;;fruit;OKAY;SPAR;1990;;stuk;1
appelsien pers;;fruit;OKAY;SPAR;2000;;stuk;1
kiwi;;fruit;OKAY;SPAR;2010;;stuk;1
mandarijntjes, geen doos, aan de...;;fruit;OKAY;SPAR;2020;;stuk;1
platte perziken;;fruit;OKAY;SPAR;2030;;stuk;1
appelen;;fruit;OKAY;SPAR;2040;;stuk;1
Watermeloen;;fruit;OKAY;SPAR;2050;;stuk;1
druiven;;fruit;OKAY;SPAR;2060;;doos;1
aardbeien;;fruit;OKAY;SPAR;2070;;doos;1
salami & kaasblokjes;;snack;OKAY;SPAR;2080;;doos;1
pannenkoeken;;snack;OKAY;SPAR;2090;;verp;1
sandwiches;;brood;Bakker;OKAY;2100;;stuk;5
bruin frans brood;;brood;OKAY;OKAY;2110;;stuk;1
wit caréken;;brood;OKAY;SPAR;2120;;stuk;1
wit brood;;brood;Bakker;OKAY;2130;;stuk;1
brood lichtbruin;;brood;Bakker;OKAY;2140;;stuk;1
brood donker;;brood;Bakker;OKAY;2150;;stuk;1
loempia;;maaltijd;OKAY;SPAR;2160;;verp;1
voorgebakken frietjes;;basis_ingrediënt;OKAY;SPAR;2170;;zak;1
diepvriesgroenten spinazie, bloe...;;groenten;OKAY;SPAR;2180;;zak;1
diepvries champignons;;groenten;OKAY;SPAR;2190;;zak;1
frietjes diepvries;;keuken;OKAY;SPAR;2200;;zak;1
soepgroenten;;groenten;OKAY;SPAR;2210;;zak;1
diepvrieskroketten;;basis_ingrediënt;OKAY;SPAR;2220;;zak;1
diepvriesgroenten mix pierre;;maaltijd;OKAY;SPAR;2230;;zak;1
diepvriessoepgroenten;;groenten;OKAY;SPAR;2240;;zak;1
chocoladeijs;;snack;OKAY;SPAR;2250;;doos;1
citroenijs;;snack;OKAY;SPAR;2260;;doos;1
diepvriesgroenten catalaans 2x;;maaltijd;OKAY;SPAR;2270;;zak;1
puree met spinazie;;basis_ingrediënt;OKAY;SPAR;2280;;zak;1
diepvriesgroenten mediteraan 2x;;maaltijd;OKAY;SPAR;2290;;zak;1
fish sticks;;vis;OKAY;SPAR;2300;;doos;1
ijsjes;;snack;OKAY;SPAR;2310;;verp;1
Magnum;;snack;OKAY;SPAR;2320;;verp;1
vanilleijs;;snack;OKAY;SPAR;2330;;doos;1
AA-batterijen;;batterijen;OKAY;SPAR;2340;;stuk;1
AAA-batterijen;;batterijen;OKAY;SPAR;2350;;stuk;1
aanstekers;;batterijen;OKAY;SPAR;2360;;stuk;1
scheermesjes mach3;;persoonlijk;OKAY;SPAR;2370;;stuk;1
2032 batterijen;;batterijen;OKAY;SPAR;2380;;stuk;1
geld afhalen;;rest;OKAY;SPAR;2390;;;1
pruimen;;fruit;OKAY;SPAR;2400;;stuk;1
kartonnen dozen;;rest;OKAY;OKAY;2410;;;1
vol-au-vent;;;L&B_kippekraam;;9980;;gram;500
kippenbouten gebraden 6stuks;;;L&B_kippekraam;;9982;;stuk;1
patatjes (gebraden);;;L&B_kippekraam;;9984;;voor_personen;1
